date	commit	chip	gpu_cores	ram_gb	macos	mlx_serve	model	ctx_size	kv_quant	prefill_chunk	prompt	prompt_tokens	gen_tokens	decode_on_tps	decode_off_tps	prefill_on_tps	peak_on_gb	peak_off_gb	identical
2026-08-18	8b57eb3	Apple M3 Max	30	36	26.5.2	26.8.8	Qwen3.8-9B-mlx-4Bit	65536	turbo4	auto	default	41	200	27.448	26.405	178.193	4.779	4.779	yes
2026-08-18	8b57eb3	Apple M3 Max	30	36	26.5.2	26.8.8	Qwen3.8-9B-mlx-4Bit	65536	turbo4	auto	08-how-it-works.md	16458	200	11.938	9.553	268.885	9.547	9.547	yes
